SummitCode,Region,SummitName,AltM,AltFt,GridRef1,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo
GM/NS-022,NS,Beinn a'Chlaidheimh,914,2999,NH 061775,-5.25907,57.74592,6,3,01/07/2002,31/12/2099
GM/WS-104,WS,Beinn Dearg,914,2998,NG 895608,-5.52287,57.58818,6,3,01/07/2002,31/12/2099
GM/WS-103,WS,Sgurr nan Ceannaichean,913,2997,NH 087480,-5.19232,57.48231,6,3,01/07/2002,31/12/2099
GM/WS-105,WS,Sgurr a'Choire-bheithe,913,2996,NG 895015,-5.4713,57.05722,6,3,01/07/2002,31/12/2099
GM/CS-045,CS,Beinn Bhreac,912,2994,NN 868820,-3.86034,56.91613,6,3,01/07/2002,31/12/2099
GM/CS-046,CS,Leathad an Taobhain,912,2991,NN 821858,-3.93865,56.94865,6,3,01/07/2002,31/12/2099
GM/WS-106,WS,The Fara,911,2990,NN 598842,-4.30485,56.92837,6,3,01/07/2002,31/12/2099
GM/NS-023,NS,Foinaven - Ganu Mor,911,2989,NC 315506,-4.8857,58.41206,6,3,01/07/2002,31/12/2099
GM/CS-047,CS,Beinn nan Oighreag,910,2984,NN 541412,-4.37324,56.54009,6,3,01/07/2002,31/12/2099
GM/WS-107,WS,Streap,909,2982,NM 946863,-5.37554,56.923,6,3,01/07/2002,31/12/2099
GM/CS-048,CS,Meall Buidhe,908,2980,NN 426449,-4.562,56.57015,6,3,01/07/2002,31/12/2099
GM/WS-109,WS,Fuar Tholl,907,2976,NG 975489,-5.37919,57.48537,6,3,01/07/2002,31/12/2099
GM/WS-110,WS,Leum Uilleim,907,2974,NN 330641,-4.73076,56.73893,6,3,01/07/2002,31/12/2099
GM/NS-024,NS,Beinn Dearg Mor,906,2973,NH 032799,-5.30994,57.7658,6,3,01/07/2002,31/12/2099
GM/WS-108,WS,Beinn Maol Chaluim,906,2973,NN 134525,-5.04194,56.62786,6,3,01/07/2002,31/12/2099
GM/WS-112,WS,Ben Tee,904,2966,NN 240972,-4.90071,57.03223,6,3,01/07/2002,31/12/2099
GM/CS-049,CS,Ben Vuirich,903,2963,NN 997700,-3.64401,56.81074,6,3,01/07/2002,31/12/2099
GM/WS-111,WS,Beinn Damh,903,2963,NG 892502,-5.51815,57.49285,6,3,01/07/2002,31/12/2099
GM/SS-018,SS,Beinn an Lochain,902,2958,NN 218078,-4.87624,56.23008,6,3,01/07/2002,31/12/2099
GM/CS-051,CS,Beinn Mheadhonach,901,2956,NN 880759,-3.83846,56.86095,6,3,01/07/2002,31/12/2099
GM/WS-113,WS,Sgurr an Fhuarain,901,2956,NM 987979,-5.31788,57.02887,6,3,01/07/2002,31/12/2099
GM/CS-050,CS,Beinn Odhar,901,2955,NN 337338,-4.70044,56.46766,6,3,01/07/2002,31/12/2099
